;Tweet;Classfy;Tweet_Parsed
14;@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil;Keluhan;infobdg kalau macet begini di lihat di depannya karena apa macetnya angkot/bus ngetem pasti ada sumber titik macetnya ridwankamil
15;#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg;Keluhan;saurwargi reckythea tolg ad seorang wanita  jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb satpolppbdg
16;RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb;Keluhan;rt se_bdg saurwargi reckythea tolg ad seorang wanita  jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb
17;@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp;;
18;@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting;Keluhan;ridwankamil dbmpkotabdg mohon dipasang tiang utk lampu merah di per4an pasar suci  cihaurgeulis  sering terjadi macet total iwginting
19;Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi;Keluhan;setuju ini sepanjang jl riau banyak yg parkir malah ada yg di trotoar juga (( ridwankamil  https//tco/anqs5onczi
20;@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil;Keluhan;pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari1mohon di perbaiki kec_kircon kel_babakansari ridwankamil
21;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
22;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
23;RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/;Keluhan;rt toekang_sate pak ridwankamil iyeu jalmi anu ngabalaan jalan di kota bandungngabagikeun pamplet tapi di awur2 di jalan https//tco/
24;@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh;Keluhan;ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh
25;RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY;Keluhan;rt prfmnews cc distarcipbdg  rt  saudarasanusi penyangga gedung ini mengkhawatirkan deh pak ridwankamiltakut roboh https//tco/ilpny
26;@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW;Keluhan;dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kelarjuna keccicendo mati hawatir rawan hatur nuhun https//tco/5ckcjc9cuw
27;Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP;Keluhan;kirmir kali cicadas rw13 kel bbksurabaya longsor mhn bantuan dbmpkotabdg cc ridwankamil odedmd yossiirianto https//tco/q1ilqh9ulp
28;Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah ???????? ga ada cara lain ? https://t.co/fydVITBqVv;Keluhan;tiap hari lewat bolak balik pa ridwankamil uang habis buat bayar jalan aja ini mah  ga ada cara lie  https//tco/fydvitbqvv
29;Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk ??. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak??;Keluhan;bpk ridwankamil dompet sy dcopet  angkot cheum-ldng pk  spta copeta bkrjasama sm spr agkta pak skg sy jd wanita tnp identitas pak
30;jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil;Keluhan;jln jend sudirman dkt suryani ad cafe mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir dbmpkotabdg dishub_kotabdg ridwankamil
31;@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.;Keluhan;pdamtirtawening  dari nmr pelanggan 00a06600370 margahayu raya j-ii-37 mohon info sudah beberapa hari air tidak keluar
32;Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE;Keluhan;lapor pak ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https//tco/utfzok3the
33;RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t;Keluhan;rt pdkebersihanbdg seperti inilah kondisi jl menuju tpa mohon maaf atas kenyamanannya diasudiana giwanghimawan1 ridwankamil https//
34;RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t;Keluhan;rt pdkebersihanbdg seperti inilah kondisi jl menuju tpa mohon maaf atas kenyamanannya diasudiana giwanghimawan1 ridwankamil https//
35;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
36;@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu;Keluhan;prfmnews infobandung  pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu
37;RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/;Keluhan;rt toekang_sate pak ridwankamil iyeu jalmi anu ngabalaan jalan di kota bandungngabagikeun pamplet tapi di awur2 di jalan https//tco/
38;Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr;Keluhan;apa kabar pdamtirtawening airnya ngalir k mana ya di rw 11 kel_cicaheum teu aya bae ridwankamil prfmnews se_bdg odedmd marcommpr
39;@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil;Keluhan;pdkebersihanbdg di pasar suci baru masuk udah disambut bak sampah gede masa hal kaya gini ga kepikiran ngeganggu atau ngga ridwankamil
40;RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode;Keluhan;rt ahmad_chm apa kabar pdamtirtawening airnya ngalir k mana ya di rw 11 kel_cicaheum teu aya bae ridwankamil prfmnews se_bdg ode
41;Pohon terbelah vertikal dpn rmh jl. Pratista raya 30,Antapani. Mohon bantuan @diskamtam utk mengamankan. https://t.co/mbdzSG09Uk;Keluhan;pohon terbelah vertikal dpn rmh jl pratista raya 30antapani mohon bantuan diskamtam utk mengamankan https//tco/mbdzsg09uk
42;@dbmpkotabdg @DiskominfoBdg @ridwankamil @OdedMD @yossiirianto Jl. BKR juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!;Keluhan;dbmpkotabdg diskominfobdg ridwankamil odedmd yossiirianto jl bkr juga donk sklian hmpir padam smua stiap mlm sgt membahayakan
43;@ridwankamil lapor, asal listrik 3394, beli yg 100rb. Nambah nya jd 9695, jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh Pak?;Keluhan;ridwankamil lapor asal listrik 3394 beli yg 100rb nambah nya jd 9695 jd hrg listrik brp 100rb kok dpet 6304 pulsanyakmh pak
44;@dbmpkotabdg  pak @ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan TB Saluyu  mati;Keluhan;dbmpkotabdg  pak ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan tb saluyu  mati
45;@ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasi:pasteur sebrang hotel aston @infobdg https://t.co/IdBqdpFrhK;Keluhan;ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasipasteur sebrang hotel aston infobdg https//tco/idbqdpfrhk
46;@infobdg @ridwankamil pak mhn tndkan'y ats prkir liar d jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti https://t.co/loLzvSZ3lg;Keluhan;infobdg ridwankamil pak mhn tndkan' ats prkir liar  jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti https//tco/lolzvsz3lg
47;#suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t.co/1nfgTCIChc;Keluhan;suarabdg via rikythemest  parkir liar di jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti cc ridwankamil https//tco/1nfgtcichc
48;RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t;Keluhan;rt infobdg suarabdg via rikythemest  parkir liar di jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti cc ridwankamil https//
49;RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t;Keluhan;rt infobdg suarabdg via rikythemest  parkir liar di jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti cc ridwankamil https//
50;RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t;Keluhan;rt infobdg suarabdg via rikythemest  parkir liar di jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti cc ridwankamil https//
51;@infobdg @RikyThemest @ridwankamil seharusnya yg punya usaha harus punya lahan parkir yg memadai;Keluhan;infobdg rikythemest ridwankamil seharusnya yg punya usaha harus punya lahan parkir yg memadai
52;@ridwankamil kang jl kebon pines yg di Tangkuban Parahu gak ada Penerangan pisan jadi kalo malem teh scarry, pangmasangkeun lampu jalan nya;Keluhan;ridwankamil kang jl kebon pin yg di tangkuban parahu gak ada penerangan pisan jadi kalo malem teh scarry pangmasangkeun lampu jalan nya
53;RT @marry_jean #InfoLalin Lampu warna merah di TL Dago-Sulanjana-Diponegoro tidak berfungsi cc @dishub_kotabdg  https://t.co/7g5KUvvdkU;Keluhan;rt marry_jean infolalin lampu warna merah di tl dago-sulanjana-diponegoro tidak berfungsi cc dishub_kotabdg  https//tco/7g5kuvvdku
54;@ridwankamil @pjudbmpbdg @DiskominfoBdg mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/e26uJWjT66;Keluhan;ridwankamil pjudbmpbdg diskominfobdg mohon perhatian pju di sepanjang jl trs cigadung mati total  hatur nuhun https//tco/e26ujwjt66
55;RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t;Keluhan;rt infobdg suarabdg via rikythemest  parkir liar di jl pasirkaliki ada petugas brjaga pun tdk  tndak lnjuti cc ridwankamil https//
56;@dbmpkotabdg RT @abin190880 : mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/ZqSThLWNrn;Keluhan;dbmpkotabdg rt abin190880  mohon perhatian pju di sepanjang jl trs cigadung mati total  hatur nuhun https//tco/zqsthlwnrn
57;Punteun PJU sktr dpn SD bbk sentral&amp;;
58;Udh lapor berkali2 k @pdamtirtawening tpi g ditanggapin.Air ledeng bocor ke jalan di jln.sindang sari 1 antapani. Gmn nih kang @ridwankamil;Keluhan;udh lapor berkali2 k pdamtirtawening tpi g ditanggapinair ledeng bocor ke jalan di jlnsindang sari 1 antapani gmn nih kang ridwankamil
59;Larangan merokok dalam angkot &amp;;
60;@ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45tjzTnC;Keluhan;ridwankamil prfmnews tmc_restabesbdg  depan tegalega angkit naek trotoar polisi tak berbuat apa2 https//tco/2k45tjztnc
61;@pdamtirtawening mhn di cek sgera no.00906610020, air tdk keluar, ini https://t.co/gCeRAktrta.087822294555.;Keluhan;pdamtirtawening mhn di cek sgera no00906610020 air tdk keluar ini https//tco/gceraktrta087822294555
62;RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t;Keluhan;rt bhaktislam ridwankamil prfmnews tmc_restabesbdg  depan tegalega angkit naek trotoar polisi tak berbuat apa2 https//tco/2k45t
63;@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan;pdamtirtaweningridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir mohon bantuannya segera
64;RT @nadyairfany: @ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c;Keluhan;rt nadyairfany ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh ngga cocok pak ada terminal di lokasi c
65;RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t;Keluhan;rt bhaktislam ridwankamil prfmnews tmc_restabesbdg  depan tegalega angkit naek trotoar polisi tak berbuat apa2 https//tco/2k45t
66;Mohon untuk disidak byk anak di bwh umur nongkrong/merokok/membawa motor di jln purnawarman, depan Bistro Lumiere @PRFMnews @Satpolppbdg;Keluhan;mohon untuk disidak byk anak di bwh umur nongkrong/merokok/membawa motor di jln purnawarman depan bistro lumiere prfmnews satpolppbdg
67;RT @YoPs86: Larangan merokok dalam angkot &amp;;
68;@dishub_kotabdg RT @puspa_zakaria: Lampu merah simpang dago mati,,arus lalin paburisat pa @ridwankamil;Keluhan;dishub_kotabdg rt puspa_zakaria lampu merah simpang dago matiarus lalin paburisat pa ridwankamil
69;RT @nadyairfany: @ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c;Keluhan;rt nadyairfany ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh ngga cocok pak ada terminal di lokasi c
70;@pdamtirtawening @ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan;pdamtirtawening ridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir mohon bantuannya segera
71;@ridwankamil pak adik saya yg sd dapet dana bsm 450rb,tp sama sekolahnya dipotong biaya ntah apa jd dapetnya cuma 140rb.itu boleh pak?;Keluhan;ridwankamil pak adik saya yg sd dapet dana bsm 450rbtp sama sekolahnya dipotong biaya ntah apa jd dapetnya cuma 140rbitu boleh pak
72;RT @dnurdin_deden: Punteun PJU sktr dpn SD bbk sentral&amp;;
73;@pdamtirtawening @ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan;pdamtirtawening ridwankamil  00106700466 punten sudah seminggu air pdam tidak mengalir mohon bantuannya segera
74;Pa wali @ridwankamil masih ada angkot stasiun-ledeng yang ugal-ugalan, kan sieun tadi ge tijengkang di angkot;Keluhan;pa wali ridwankamil masih ada angkot stasiun-ledeng yang ugal-ugalan kan sieun tadi ge tijengkang di angkot
75;RT @MeydaAnnisa: @relawan_bdg @ridwankamil @Satpolppbdg Kumuhnya kaki lima perempatan jl. jakarta - kircon engga bgt &amp;;
76;Sktr 1 jm yg lalu, sy jd korban penabrakan dgn sengaja o/ angkot caringin - sdg serang D 1993 CA di daerah bojong, cijerah @ridwankamil;Keluhan;sktr 1 jm yg lalu sy jd korban penabrakan dgn sengaja / angkot caringin - sdg serang  1993 ca di daerah bojong cijerah ridwankamil
77;@ridwankamil kang, yg jualan obat jentik nyamuk maksa masih ada aja, anak kosan sekeloa dipaksa lg, padahal udh bilang ga mau;Keluhan;ridwankamil kang yg jualan obat jentik nyamuk maksa masih ada aja anak kosan sekeloa dipaksa lg padahal udh bilang ga mau
78;Saya yg sdg mengendarai motor ditabrak dari arah belakang 2 kali secara beruntun oleh angkot tsb @tmc_restabesbdg @ridwankamil;Keluhan;saya yg sdg mengendarai motor ditabrak dari arah belakang 2 kali secara beruntun oleh angkot tsb tmc_restabesbdg ridwankamil
79;Setelah menabrak dgn sengaja supir angkot tsb keluar &amp;;
80;#suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan;suarabdg via temansotoy lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc dishub_kotabdg
81;RT @infobdg: #suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan;rt infobdg suarabdg via temansotoy lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc dishub_kotabdg
82;RT @infobdg: #suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan;rt infobdg suarabdg via temansotoy lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc dishub_kotabdg
83;Penasaran, knp ya sepertinya Jl. Pajajaran udah beberapa kali ambles parah. https://t.co/6oqitJePL1;Keluhan;penasaran knp ya sepertinya jl pajajaran udah beberapa kali amble parah https//tco/6oqitjepl1
84;@ridwankamil cc @diskamtam mhn dipangkas krn menutupi PJU, rawan. Lok: jl sampurna (sbrang kantor kelurahan pasteur) https://t.co/JBinzh37BO;Keluhan;ridwankamil cc diskamtam mhn dipangkas krn menutupi pju rawan lok jl sampurna (sbrang kantor kelurahan pasteur) https//tco/jbinzh37bo
85;Naik angkot di bandung harus nahan2 hati ya kang @ridwankamil. Bener2 nguji iman ngetem nya. Apalagi di area kalapa. Sabar.... ????;Keluhan;naik angkot di bandung harus nahan2 hati ya kang ridwankamil bener2 nguji iman ngetem nya apalagi di area kalapa sabar 
86;@ridwankamil pak emil, PJU anu di jl.pahlawan deket kampus LP31 mati wae pak, gelap. Rawan kecelakaan/begal.. Haturnuhun;Keluhan;ridwankamil pak emil pju anu di jlpahlawan deket kampus lp31 mati wae pak gelap rawan kecelakaan/begal haturnuhun
87;@pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah laporan ke pdam;Keluhan;pdamtirtawening   prfmnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah laporan ke pdam
88;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX;Keluhan;rt tadjiuinbdg ridwankamil lapor pak mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri  24 https//tco/t9nhcx
89;RT @jrohman22: @pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap;Keluhan;rt jrohman22 pdamtirtawening   prfmnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap
90;RT @jrohman22: @pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap;Keluhan;rt jrohman22 pdamtirtawening   prfmnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap
91;@ridwankamil. Saya mau lapor pak tlg trafick light dijln moch toha dpn rs sartika asih mati udh lama Tlg segera dibtulkan karna rawan pak;Keluhan;ridwankamil saya mau lapor pak tlg trafick light dijln moch toha dpn rs sartika asih mati udh lama tlg segera dibtulkan karna rawan pak
92;2) dan akhirnya penumpang naik di depan mobil kami, angkot nya menghalangi mobil setengah jalan jalur kiri. Cc: @ridwankamil #mentalillness;Keluhan;2) dan akhirnya penumpang naik di depan mobil kami angkot nya menghalangi mobil setengah jalan jalur kiri cc ridwankamil mentalillness
93;@ridwankamil kang tiap saya lewat Tg lega ko sering banyak sampah ya kang. ga kaya dulu kang, meski dlu ga separah ini kang;Keluhan;ridwankamil kang tiap saya lewat tg lega ko sering banyak sampah ya kang ga kaya dulu kang meski dlu ga separah ini kang
94;@ridwankamil assalamu'alaikum pa, warga jln.trsan holis rt03/09 babakan ciparay msh mmbuang sampah ke Sungai krna blm ada fasilitas. Mksh pa;Keluhan;ridwankamil assalamu'alaikum pa warga jlntrsan holis rt03/09 babakan ciparay msh mmbuang sampah ke sungai krna blm ada fasilitas mksh pa
95;@pdamtirtawening Via @supriyantoiam : Cai PDAM kumaha di jl.Purwakarta v  Antapani teu acan wae ngocor punten. Cc @pdamtirtawening;Keluhan;pdamtirtawening via supriyantoiam  cai pdam kumaha di jlpurwakarta v  antapani teu acan wae ngocor punten cc pdamtirtawening
96;@PRFMnews @ridwankamil pak bade lapor, kesulitan (dipersulit) pengurusan dokumen pendukung u/ haji di tingkat RW kedah kamana? #urgent;Keluhan;prfmnews ridwankamil pak bid lapor kesulitan (dipersulit) pengurusan dokumen pendukung u/ haji di tingkat rw kedah kamana urgent
97;@basuki_btp @ridwankamil jalan dan trotoar banyak rusak gara2 minyak dan air dr warung tenda. Pdagang hrsnya pasang terpal plastik sbg alas;Keluhan;basuki_btp ridwankamil jalan dan trotoar banyak rusak gara2 minyak dan air dr warung tenda pdagang hrsnya pasang terpal plastik sbg alas
98;@ridwankamil @pdamtirtawening  00206360870 no meter PDAM jl.purwakarta v no.3 antapani punten teu acan wae ngocor.punten kang..;Keluhan;ridwankamil pdamtirtawening  00206360870  meter pdam jlpurwakarta v no3 antapani punten teu acan wae ngocorpunten kang
99;@ridwankamil jl.cikutra arah borma ga ada border yg membatasi antara jalan dan selokan, bahkan pernah menelan korban jiwa .kapan diperbaiki?;Keluhan;ridwankamil jlcikutra arah borma ga ada border yg membatasi antara jalan dan selokan bahkan pernah menelan korban jiwa kapan diperbaiki
