Tweet;Classfy
@dbmpkotabdg @DiskominfoBdg @ridwankamil @OdedMD @yossiirianto Jl. BKR juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!;Keluhan
@ridwankamil lapor, asal listrik 3394, beli yg 100rb. Nambah nya jd 9695, jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh Pak?;Keluhan
@dbmpkotabdg  pak @ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan TB Saluyu  mati;Keluhan
@ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasi:pasteur sebrang hotel aston @infobdg https://t.co/IdBqdpFrhK;Keluhan
@infobdg @ridwankamil pak mhn tndkan'y ats prkir liar d jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti https://t.co/loLzvSZ3lg;Keluhan
#suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t.co/1nfgTCIChc;Keluhan
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…;Keluhan
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…;Keluhan
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…;Keluhan
@infobdg @RikyThemest @ridwankamil seharusnya yg punya usaha harus punya lahan parkir yg memadai;Keluhan
@ridwankamil kang jl kebon pines yg di Tangkuban Parahu gak ada Penerangan pisan jadi kalo malem teh scarry, pangmasangkeun lampu jalan nya;Keluhan
RT @marry_jean #InfoLalin Lampu warna merah di TL Dago-Sulanjana-Diponegoro tidak berfungsi cc @dishub_kotabdg  https://t.co/7g5KUvvdkU;Keluhan
@ridwankamil @pjudbmpbdg @DiskominfoBdg mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/e26uJWjT66;Keluhan
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…;Keluhan
@dbmpkotabdg RT @abin190880 : mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/ZqSThLWNrn;Keluhan
"Punteun PJU sktr dpn SD bbk sentral&amp;dpn kntor klrhn sukapura pada mati,serta lampunya redup@ridwankamil @dbmpkotabdg @diskamtam @Kec_Kircon";Keluhan
Udh lapor berkali2 k @pdamtirtawening tpi g ditanggapin.Air ledeng bocor ke jalan di jln.sindang sari 1 antapani. Gmn nih kang @ridwankamil;Keluhan
"Larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya, pak @ridwankamil ? asap rokok supirnya nyesek euy :(";Keluhan
@ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45tjzTnC;Keluhan
@pdamtirtawening mhn di cek sgera no.00906610020, air tdk keluar, ini https://t.co/gCeRAktrta.087822294555.;Keluhan
RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t…;Keluhan
@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan
RT @nadyairfany: @ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c…;Keluhan
RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t…;Keluhan
Mohon untuk disidak byk anak di bwh umur nongkrong/merokok/membawa motor di jln purnawarman, depan Bistro Lumiere @PRFMnews @Satpolppbdg;Keluhan
"RT @YoPs86: Larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya, pak @ridwankamil ? asap rokok supirnya nyesek e…";Keluhan
@dishub_kotabdg RT @puspa_zakaria: Lampu merah simpang dago mati,,arus lalin paburisat pa @ridwankamil;Keluhan
RT @nadyairfany: @ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c…;Keluhan
@pdamtirtawening @ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan
@ridwankamil pak adik saya yg sd dapet dana bsm 450rb,tp sama sekolahnya dipotong biaya ntah apa jd dapetnya cuma 140rb.itu boleh pak?;Keluhan
"RT @dnurdin_deden: Punteun PJU sktr dpn SD bbk sentral&amp;dpn kntor klrhn sukapura pada mati,serta lampunya redup@ridwankamil @dbmpkotabdg @di…";Keluhan
@pdamtirtawening @ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan
Pa wali @ridwankamil masih ada angkot stasiun-ledeng yang ugal-ugalan, kan sieun tadi ge tijengkang di angkot;Keluhan
"RT @MeydaAnnisa: @relawan_bdg @ridwankamil @Satpolppbdg Kumuhnya kaki lima perempatan jl. jakarta - kircon engga bgt &amp; risih ama jablay. to…";Keluhan
Sktr 1 jm yg lalu, sy jd korban penabrakan dgn sengaja o/ angkot caringin - sdg serang D 1993 CA di daerah bojong, cijerah @ridwankamil;Keluhan
@ridwankamil kang, yg jualan obat jentik nyamuk maksa masih ada aja, anak kosan sekeloa dipaksa lg, padahal udh bilang ga mau;Keluhan
Saya yg sdg mengendarai motor ditabrak dari arah belakang 2 kali secara beruntun oleh angkot tsb @tmc_restabesbdg @ridwankamil;Keluhan
"Setelah menabrak dgn sengaja supir angkot tsb keluar &amp; beberapa kali hendak memukuli saya @tmc_restabesbdg @ridwankamil @infobdg";Keluhan
#suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan
RT @infobdg: #suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan
RT @infobdg: #suaraBDG via @temansotoy: lampu merah di perempatan pelajar pejuang-talagabodas sudah bbrp hari mati cc: @dishub_kotabdg;Keluhan
Penasaran, knp ya sepertinya Jl. Pajajaran udah beberapa kali ambles parah. https://t.co/6oqitJePL1;Keluhan
@ridwankamil cc @diskamtam mhn dipangkas krn menutupi PJU, rawan. Lok: jl sampurna (sbrang kantor kelurahan pasteur) https://t.co/JBinzh37BO;Keluhan
Naik angkot di bandung harus nahan2 hati ya kang @ridwankamil. Bener2 nguji iman ngetem nya. Apalagi di area kalapa. Sabar.... ????;Keluhan
@ridwankamil pak emil, PJU anu di jl.pahlawan deket kampus LP31 mati wae pak, gelap. Rawan kecelakaan/begal.. Haturnuhun;Keluhan
@pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah laporan ke pdam;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
RT @jrohman22: @pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap…;Keluhan
RT @jrohman22: @pdamtirtawening   @PRFMnews  kenapa air pdam didaerah tb ismail depan rt05 rw08 sudah 2minggu ngak ngalir padahal sudah lap…;Keluhan
@ridwankamil. Saya mau lapor pak tlg trafick light dijln moch toha dpn rs sartika asih mati udh lama Tlg segera dibtulkan karna rawan pak;Keluhan
2) dan akhirnya penumpang naik di depan mobil kami, angkot nya menghalangi mobil setengah jalan jalur kiri. Cc: @ridwankamil #mentalillness;Keluhan
@ridwankamil kang tiap saya lewat Tg lega ko sering banyak sampah ya kang. ga kaya dulu kang, meski dlu ga separah ini kang;Keluhan
@ridwankamil assalamu'alaikum pa, warga jln.trsan holis rt03/09 babakan ciparay msh mmbuang sampah ke Sungai krna blm ada fasilitas. Mksh pa;Keluhan
@pdamtirtawening Via @supriyantoiam : Cai PDAM kumaha di jl.Purwakarta v  Antapani teu acan wae ngocor punten. Cc @pdamtirtawening;Keluhan
@PRFMnews @ridwankamil pak bade lapor, kesulitan (dipersulit) pengurusan dokumen pendukung u/ haji di tingkat RW kedah kamana? #urgent;Keluhan
@basuki_btp @ridwankamil jalan dan trotoar banyak rusak gara2 minyak dan air dr warung tenda. Pdagang hrsnya pasang terpal plastik sbg alas;Keluhan
@ridwankamil @pdamtirtawening  00206360870 no meter PDAM jl.purwakarta v no.3 antapani punten teu acan wae ngocor.punten kang..;Keluhan
@ridwankamil jl.cikutra arah borma ga ada border yg membatasi antara jalan dan selokan, bahkan pernah menelan korban jiwa .kapan diperbaiki?;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
@ridwankamil kang emil nu ganteng,pntn rd ditrtibkn spnjng jln sbrng psr kircon,bnyk mbl prkr,siang-sore,jd mct pisan,ditambah kreta lewat,;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
tlng dibantu pk pasokan air ke jl sukapura Gg pepaya tdk ada sdh 1bln lebih. Lapor selalu tdk ada tanggapan @pdamtirtawening @ridwankamil;Keluhan
"Mohon bantuan penyalaan kembali lampu PJU di jl.Salam depan no 51 &amp; taman Super Hero @dbmpkotabdg @PRFMnews https://t.co/7RzTwhxH55";Keluhan
"09.05: RT @iman_sinarjadi:  Mohon bantuan penyalaan kmbali PJU di Jl Salam dpn no 51 &amp; Taman Super Hero @dbmpkotabdg https://t.co/57UfO2k7z0";Keluhan
Pak keamanan lalu lintas  di dekat SMAN 25 bandung buat macet, gimana petugas kepolisiannya tolong ya pak amankan.. @ridwankamil;Keluhan
RT @supriyantoiam: @ridwankamil @pdamtirtawening  00206360870 no meter PDAM jl.purwakarta v no.3 antapani punten teu acan wae ngocor.punten…;Keluhan
RT @fickyfauzie: @pdamtirtawening @ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;Keluhan
Pak @ridwankamil apa bnr pembuangan sampah ke tps sdg ada kendala?krn di tmpt saya sdh hmpr 3 minggu sampah tdk di ambil;Keluhan
09.49 Didi via WA Lampu merah simpang dago dari arah selatan sudah 3 hari mati / tidak berfungsi cc @dishub_kotabdg https://t.co/dvbWmBTzTw;Keluhan
@ridwankamil mari kita pikirkan bersama solusinya.pasar jam 10 pagi msh buka dijalan daerah perempatan moh.toha https://t.co/z1KzVLpktt;Keluhan
"Tp pd saat perpanjang di sim keliling biaya yg ditarik sim A Rp 170rb &amp; sim C Rp 165rb, melanggar aturan kah ini? (2) @infobdg @ridwankamil";Keluhan
@ridwankamil @infobdg perempatan malabar gatsu, lampulalin udah lama mati. Jadi suka macet.;Keluhan
"@ridwankamil @dbmpkotabdg @diskamtam Kang per4an Cikutra &amp; Jln Suci,  batang pohon na nutupan Lampu Merah &amp;  PJU.  Mohon Perhatian";Keluhan
"RT @ivansinatra: @ridwankamil @dbmpkotabdg @diskamtam Kang per4an Cikutra &amp; Jln Suci,  batang pohon na nutupan Lampu Merah &amp;  PJU.  Mohon P…";Keluhan
@ridwankamil anak saya sudah naik kelas 8 dan kelas 11 tp  raport asli dr dinas pendidikan belum selesai juga;Keluhan
RT @PRFMnews: 09.49 Didi via WA Lampu merah simpang dago dari arah selatan sudah 3 hari mati / tidak berfungsi cc @dishub_kotabdg https://t…;Keluhan
Si mbl keren D 333 BOY br saja buang puntung di jln Dago @ridwankamil @dbmpkotabdg https://t.co/HGwonlthyo;Keluhan
RT @ronronnytan: Si mbl keren D 333 BOY br saja buang puntung di jln Dago @ridwankamil @dbmpkotabdg https://t.co/HGwonlthyo;Keluhan
kang di babakan sari kircon di RT09/11 air PDAM ga mengalir, mohon perhatiannya krn tiap mlm begadang tp airnya tidak ada @ridwankamil;Keluhan
RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;Keluhan
@ridwankamil kang punten naha ieu kec buah batu ngurus ktp ge meni hese dari senin nepi ka ayeuna teu bisa wae ngarekam alasannya error wae;Keluhan
RT @ronronnytan: Si mbl keren D 333 BOY br saja buang puntung di jln Dago @ridwankamil @dbmpkotabdg https://t.co/HGwonlthyo;Keluhan
RT @PRFMnews: 09.49 Didi via WA Lampu merah simpang dago dari arah selatan sudah 3 hari mati / tidak berfungsi cc @dishub_kotabdg https://t…;Keluhan
"@dbmpkotabdg @distarcipBDG membangun bngunan tinggi tanpa pondasi.mmbhyakan bngunan&amp;kselamatan wrga sekitar.mhon scpt ny d tindak(2)";Keluhan
"RT @PRFMnews: 09.05: RT @iman_sinarjadi:  Mohon bantuan penyalaan kmbali PJU di Jl Salam dpn no 51 &amp; Taman Super Hero @dbmpkotabdg https://…";Keluhan
@ridwankamil lokasi jl.pagarsih barat gg.madrasah pengurus seperti ga mempan sm pemilik;Keluhan
@relawan_bdg @Satpolppbdg jl.pagarsih barat gg.madrasah jalan jadi sempit dan di jalan utamanya kol buntung pd sembarangan parkir semerawut;Keluhan
#lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskamtam;Keluhan
RT @infobdg: #lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskam…;Keluhan
RT @infobdg: #lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskam…;Keluhan
@Satpolppbdg jl.pagarsih barat gg.madrasah jalan jd sempit aparat gada yg mempan sm pemilik https://t.co/vjOSaSufa0;Keluhan
RT @infobdg: #lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskam…;Keluhan
RT @infobdg: #lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskam…;Keluhan
RT @infobdg: #lalinBDG 11.38 :  jalan menuju lembang macet total karena pohon tumbang dijalan setelah farmhouse | @cicutmaricut1 cc @diskam…;Keluhan
Pa itu rumput2 yg baru di tanam di deket stopan jalan ibrahim adjie pada kering , lebar ga di rawat:( @dbmpkotabdg @ridwankamil;Keluhan
Punten telat posting,kemarin sore jl.AsiaAfrika macet total,trotoar jd jl utama pengguna sepeda motor @ridwankamil https://t.co/XC2xkmIN95;Keluhan
@ridwankamil mohon diawasi pedagang sayur dan buahbuahan di pasar kordon masih ada yg buang sampah kesungai pas jembatan;Keluhan
Dari sukajadi sampai lembang macet total+tak ada polisi yg atur ?? #lalinBDG @ridwankamil https://t.co/5dVZx9WzML;Keluhan
@ridwankamil tak ada kaki lima,kaki 6,7,8 9 sampai 10 pun jadi. https://t.co/zX6SHPioLZ;Keluhan
RT @MuhammadIbnoe: Dari sukajadi sampai lembang macet total+tak ada polisi yg atur ?? #lalinBDG @ridwankamil https://t.co/5dVZx9WzML;Keluhan
RT @Beduz_Asa: Punten telat posting,kemarin sore jl.AsiaAfrika macet total,trotoar jd jl utama pengguna sepeda motor @ridwankamil https://t…;Keluhan
RT @MuhammadIbnoe: Dari sukajadi sampai lembang macet total+tak ada polisi yg atur ?? #lalinBDG @ridwankamil https://t.co/5dVZx9WzML;Keluhan
Perilaku melanggar rambu lalu lintas di jalan Purnawarman perlu di tindak tegas @PRFMnews @ridwankamil https://t.co/sy8f3CBzzC;Keluhan
RT @MuhammadIbnoe: Dari sukajadi sampai lembang macet total+tak ada polisi yg atur ?? #lalinBDG @ridwankamil https://t.co/5dVZx9WzML;Keluhan
RT @satrio_mario912: Perilaku melanggar rambu lalu lintas di jalan Purnawarman perlu di tindak tegas @PRFMnews @ridwankamil https://t.co/sy…;Keluhan
@dishub_kotabdg @PRFMnews traffic light pertigaan Jl. Pelajar Pejuang - Jl. Talaga Bodas sudah beberapa minggu tdk berfungsi,mohon perhatian;Keluhan
@infobdg @ridwankamil pak gimana initeh,angkot teh buang sampah di jalan pasir koja gera. Tilang pak tilang https://t.co/RZygR6ZhIW;Keluhan
@pdamtirtawening no.langganan 00203940382 sdh 5 hri krisis air bersih, @ridwankamil @OdedMD @PRFMnews ada apa gerangan?!;Keluhan
mobil ini buang sampah sembarangan di kota Kediri... malu2in urang bandung. cc: @ridwankamil https://t.co/qx863tyVkm;Keluhan
@dbmpkotabdg @ridwankamil @Kelcikawao seeur pisan anu pasea,anu di rampok daerah lengkong besar teh, jalan rayana lampuna pareum.;Keluhan
zona kemacetan baru di jalan raya Lembang menuju bandung. pd parkir sembarngan di pinggir jalan. @ridwankamil https://t.co/MYIbhtPz90;Keluhan
@dbmpkotabdg Bapak, lapor. di jalan terusan jakarta depan apotek K 24 sblm borma antapani ada lubang 2 cukup dalem. Mohon diperbaiki, nuhun.;Keluhan
RT @PRFMnews: 13.30: RT @Bazivakack:  Pohonnya sdh tinggi. Membahayakan rumah sekitar lokasi Jl Logam II Margacinta. cc @diskamtam https://…;Keluhan
@ridwankamil kang punten apa bs becak dikota bdg di kepinggirkan? Kurang indah diliatnya ditengah msh ada becak..nuhun;Keluhan
"15.43: RT @foodiedudi: Jl Surapati dpn Hotel Yehezkiel ada jualan mangga &amp; sepatu pakai mobil. Parkir tiap hari. cc @IWGinting @Satpolppbdg";Keluhan
meresahkan banget. di KM 2 GT Pasirkoja. Membawa foto yang tidak sewajarnya dilihat anak2. @PRFMnews @ridwankamil https://t.co/DbT67cD5IP;Keluhan
@pdkebersihanbdg @InspekturVjayz @ridwankamil maaf pa..d setiap TPS jg seperti itu, bulanan 200ribu harian sekali buang 15..tps cijagra;Keluhan
RT @jemmymichael: meresahkan banget. di KM 2 GT Pasirkoja. Membawa foto yang tidak sewajarnya dilihat anak2. @PRFMnews @ridwankamil https:/…;Keluhan
RT @jemmymichael: meresahkan banget. di KM 2 GT Pasirkoja. Membawa foto yang tidak sewajarnya dilihat anak2. @PRFMnews @ridwankamil https:/…;Keluhan
RT @jemmymichael: meresahkan banget. di KM 2 GT Pasirkoja. Membawa foto yang tidak sewajarnya dilihat anak2. @PRFMnews @ridwankamil https:/…;Keluhan
pak,ada ide biar perangkotan ga ngrokok lg?saya pasrah tiap hr nyium asap di angkot.stiker anti rokok kl ga drobek ya ditimpa @ridwankamil;Keluhan
Pak @ridwankamil kumaha ieu tos seueur deui nu sok ngagarajleng ka lebet angkot, matak gimir;Keluhan
RT @jemmymichael: meresahkan banget. di KM 2 GT Pasirkoja. Membawa foto yang tidak sewajarnya dilihat anak2. @PRFMnews @ridwankamil https:/…;Keluhan
@ridwankamil mohon di atasi dan mohon udag pak bangsat na. Karunya teteh abi bade ngalahirkeun teu nyandak acis sepeser pun;Keluhan
@Satpolppbdg @ridwankamil @PemkotBandung @PRFMnews reklame roko oge sami kang rajia, Jl. Lengkong besar aya nu enggal  auto bridal GG mild;Keluhan
lapor warga geger kalong hilir bakar sampah,agak krg nyaman,sy pndatang baru pak @ridwankamil bagaimana? https://t.co/mSUXme8gV3;Keluhan
Kang @ridwankamil angkot ngetem diatas trotoar perempatan bip dago mohon ditindak. bkin macet kang. https://t.co/IMNMPAeOVP;Keluhan
Lapor Jl. Rumah sakit sagedengeun RSHS PJU na pareum teras jalan na reksak peryogi perhatosan @dbmpkotabdg @PRFMnews https://t.co/VwF1uzpQgg;Keluhan
RT @dudi_abi: Lapor Jl. Rumah sakit sagedengeun RSHS PJU na pareum teras jalan na reksak peryogi perhatosan @dbmpkotabdg @PRFMnews https://…;Keluhan
@ridwankamil kang emil ini kenapa udh 3 hari lampu jalan pahlawan mati terus? Jadi serem kang mau nyebrang. Trims.;Keluhan
@PRFMnews @ridwankamil @infobdg mhn perhatian pihak terkait, tiap hr batas kota bdg cimahi macet krn angkot nget dan tdk pnh ditindak;Keluhan
@dbmpkotabdg @PRFMnews pju fly over kircon udah banyak yg mati lg. Padahal blm lama;Keluhan
Punten ieu lampu PJU di jl.pungkur (dekat hotel brawijaya) pareum. Hatur nuhun @dbmpkotabdg https://t.co/LYt6ZYNg3Q;Keluhan
@ridwankamil, punten ah bade laporan naha nya asa aneh ari catatan sipil meni sering pisan salah nyerat nami,abdi jadi sesah ngadamel paspor;Keluhan
Pak @ridwankamil pami rajia tempat sampah msh ada?? Asa banyak angkot nu teu aya tempat sampah, atanapi tos males nindak?;Keluhan
